Notes		Notes on tables
Notes	Request Version	01.00.31beta
Notes	MIPs (...)	The last two columns in each row list MIPs associated with each variable. The first column in this pair lists the MIPs which are requesting the variable in one or more experiments. The second column lists the MIPs proposing experiments in which this variable is requested. E.g. If a variable is requested in a DECK experiment by HighResMIP, then HighResMIP appears in the first column and DECK in the second
Notes	Table	Reference Volume (1 deg. atmosphere, 0.5 deg. ocean)
Notes	Amon	99G
Notes	Efx	0M
Notes	Emon	10G
Notes	Eyr	802M
Notes	LImon	1G
Notes	Lmon	9G
Notes	Oday	83G
Notes	Ofx	208M
Notes	Omon	8.8T
Notes	Oyr	1.0T
Notes	SIday	125G
Notes	SImon	44G
Notes	day	83G
Notes	fx	17M
MIP table	Priority	Long name	units	description	comment	Variable Name	CF Standard Name	cell_methods	positive	type	dimensions	CMOR Name	modeling_realm	frequency	cell_measures	prov	provNote	rowIndex	UID	vid	stid	Structure Title	valid_min	valid_max	ok_min_mean_abs	ok_max_mean_abs	MIPs (requesting)	MIPs (by experiment)	Number of Years	Slice Type	Years	Grid	
Amon	Lowest priority value set in request for this variable for this experiment	NetCDF Global Attribute			Name of variable in file			CMOR directive			CMOR name, unique within table										CMOR variable identifier	MIP variable identifier	Structure identifier										
Amon	1	Surface Downward Northward Wind Stress	Pa	Downward northward wind stress at the surface		tauv	surface_downward_northward_stress	area: time: mean	down	real	longitude latitude time	tauv	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	31	bab9888a-e5dd-11e5-8482-ac72891c3257	bd10cebbde1593b65e5220911f9a997c	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-10.0 r	10.0 r	0.01 r	0.2 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Upward Latent Heat Flux	W m-2	The surface called 'surface' means the lower boundary of the atmosphere. 'Upward' indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.	includes both evaporation and sublimation	hfls	surface_upward_latent_heat_flux	area: time: mean	up	real	longitude latitude time	hfls	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	32	baaefe2e-e5dd-11e5-8482-ac72891c3257	95cbf6ac889c8fe7d92e20e8c34960d1	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-400.0 r	1800.0 r	30.0 r	110.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Upward Sensible Heat Flux	W m-2	The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.		hfss	surface_upward_sensible_heat_flux	area: time: mean	up	real	longitude latitude time	hfss	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	33	baaf86a0-e5dd-11e5-8482-ac72891c3257	a13ed886b17e20cdae8b89b9ff8e4610	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-1000.0 r	2000.0 r	5.0 r	60.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Downwelling Longwave Radiation	W m-2	The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.		rlds	surface_downwelling_longwave_flux_in_air	area: time: mean	down	real	longitude latitude time	rlds	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	34	bab52da8-e5dd-11e5-8482-ac72891c3257	70d7d6fc0e9c2f14624a0270bf2b99b9	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	30.0 r	520.0 r	260.0 r	330.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Downwelling Shortwave Radiation	W m-2	Surface solar irradiance for UV calculations.		rsds	surface_downwelling_shortwave_flux_in_air	area: time: mean	down	real	longitude latitude time	rsds	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	36	bab5e1b2-e5dd-11e5-8482-ac72891c3257	6e7b9f984d3bba15daccaaa18039a85d	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-0.1 r	550.0 r	120.0 r	200.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Downwelling Clear-Sky Shortwave Radiation	W m-2	Surface solar irradiance clear sky for UV calculations		rsdscs	surface_downwelling_shortwave_flux_in_air_assuming_clear_sky	area: time: mean	down	real	longitude latitude time	rsdscs	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	38	bab607c8-e5dd-11e5-8482-ac72891c3257	d0a35d5c99a0aa93ad4069cfe83bf748	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]					AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Surface Downwelling Clear-Sky Longwave Radiation	W m-2	Surface downwelling clear-sky longwave radiation		rldscs	surface_downwelling_longwave_flux_in_air_assuming_clear_sky	area: time: mean	down	real	longitude latitude time	rldscs	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	40	bab5540e-e5dd-11e5-8482-ac72891c3257	7b2d1e1a3ece1169d8ac61af4b758ed2	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	25.0 r	550.0 r	220.0 r	310.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	TOA Outgoing Shortwave Radiation	W m-2	at the top of the atmosphere		rsut	toa_outgoing_shortwave_flux	area: time: mean	up	real	longitude latitude time	rsut	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	42	bab68ebe-e5dd-11e5-8482-ac72891c3257	b907fef85d4c9571a9457ee1b259bb8f	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-0.1 r	480.0 r	60.0 r	160.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	TOA Outgoing Longwave Radiation	W m-2	at the top of the atmosphere (to be compared with satellite measurements)		rlut	toa_outgoing_longwave_flux	area: time: mean	up	real	longitude latitude time	rlut	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	43	bab5aad0-e5dd-11e5-8482-ac72891c3257	63345d9732c72b97ca395f24ce2d6642	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	65.0 r	385.0 r	205.0 r	305.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	TOA Outgoing Clear-Sky Longwave Radiation	W m-2	Upwelling clear-sky longwave radiation at top of atmosphere		rlutcs	toa_outgoing_longwave_flux_assuming_clear_sky	area: time: mean	up	real	longitude latitude time	rlutcs	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	44	bab5bcdc-e5dd-11e5-8482-ac72891c3257	921b8b8f6620826567d9324314c70410	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	65.0 r	390.0 r	220.0 r	270.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	TOA Outgoing Clear-Sky Shortwave Radiation	W m-2	Calculated in the absence of clouds.		rsutcs	toa_outgoing_shortwave_flux_assuming_clear_sky	area: time: mean	up	real	longitude latitude time	rsutcs	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	45	bab69c06-e5dd-11e5-8482-ac72891c3257	12e0369ff0ba1a6f1a84e0d9565d4b07	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-0.1 r	480.0 r	30.0 r	120.0 r	AerChemMIP,C4MIP,CDRMIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Water Vapor Path	kg m-2	vertically integrated through the atmospheric column		prw	atmosphere_mass_content_of_water_vapor	area: time: mean		real	longitude latitude time	prw	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	46	bab45df6-e5dd-11e5-8482-ac72891c3257	fc637f1c75e58be8a6e4112411a00f36	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	0.0 r	90.0 r	12.0 r	26.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Total Cloud Cover Percentage	%	Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.	for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.	clt	cloud_area_fraction	area: time: mean		real	longitude latitude time	clt	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	47	baaad7e0-e5dd-11e5-8482-ac72891c3257	7c2249d424dde72f8616d42870a9d425	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-0.001 r	100.001 r	10.0 r	90.0 r	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PAMIP,PMIP,RFMIP,VIACSAB,VolMIP	CMIP	All			
Amon	1	Condensed Water Path	kg m-2	Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.	mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.	clwvi	atmosphere_mass_content_of_cloud_condensed_water	area: time: mean		real	longitude latitude time	clwvi	atmos	mon	area: areacella	Amon ((isd.003))	Amon_2d	48	baab1818-e5dd-11e5-8482-ac72891c3257	80a1dd605b563e9f09c718a5ba9cb9cc	f7dcac96-562c-11e6-a2a4-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [am-tm]	-3.827e-06 s	3.364 s		0.2846 s	AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PMIP,RFMIP,VolMIP	CMIP	All			
