6hrPlevPt,ta,2014,2014
6hrPlevPt,ua,1979,1979
day,hus,2004,2008
6hrLev,hus,1983,1983
6hrPlevPt,ua,1980,1980
6hrPlevPt,ua,1981,1981
6hrPlevPt,ua,1982,1982
day,hus,2009,2013
day,hus,2014,2014
6hrPlevPt,ua,1983,1983
3hr,hfss,1999,2008
6hrPlevPt,ua,1984,1984
6hrPlevPt,ua,1985,1985
day,huss,1979,2014
6hrPlevPt,ua,1986,1986
day,mrro,1979,2014
6hrPlevPt,ua,1987,1987
6hrPlevPt,ua,1988,1988
day,mrso,1979,2014
6hrPlevPt,ua,1989,1989
3hr,hfss,2009,2014
day,mrsos,1979,2014
6hrPlevPt,ua,1990,1990
6hrLev,hus,1984,1984
6hrPlevPt,ua,1991,1991
6hrPlevPt,ua,1992,1992
day,pr,1979,2014
6hrPlevPt,ua,1993,1993
6hrPlevPt,ua,1994,1994
day,prc,1979,2014
3hr,huss,1979,1988
6hrPlevPt,ua,1995,1995
day,prsn,1979,2014
6hrPlevPt,ua,1996,1996
day,psl,1979,2014
6hrPlevPt,ua,1997,1997
6hrPlevPt,ua,1998,1998
day,rlds,1979,2014
6hrLev,hus,1985,1985
6hrPlevPt,ua,1999,1999
3hr,huss,1989,1998
6hrPlevPt,ua,2000,2000
day,rlus,1979,2014
6hrPlevPt,ua,2001,2001
6hrPlevPt,ua,2002,2002
6hrPlevPt,ua,2003,2003
3hr,huss,1999,2008
day,rlut,1979,2014
6hrPlevPt,ua,2004,2004
6hrPlevPt,ua,2005,2005
6hrPlevPt,ua,2006,2006
day,rsds,1979,2014
6hrPlevPt,ua,2007,2007
3hr,huss,2009,2014
6hrPlevPt,ua,2008,2008
6hrLev,hus,1986,1986
6hrPlevPt,ua,2009,2009
day,rsus,1979,2014
6hrPlevPt,ua,2010,2010
3hr,mrsos,1979,1988
6hrPlevPt,ua,2011,2011
day,sfcWind,1979,2014
6hrPlevPt,ua,2012,2012
3hr,mrsos,1989,1998
6hrPlevPt,ua,2013,2013
6hrPlevPt,ua,2014,2014
3hr,mrsos,1999,2008
6hrPlevPt,va,1979,1979
3hr,mrsos,2009,2014
day,sfcWindmax,1979,2014
6hrPlevPt,va,1980,1980
day,snw,1979,2014
6hrPlevPt,va,1981,1981
6hrPlevPt,va,1982,1982
6hrLev,hus,1987,1987
day,ta,1979,1983
6hrPlevPt,va,1983,1983
day,ta,1984,1988
3hr,pr,1979,1988
6hrPlevPt,va,1984,1984
6hrPlevPt,va,1985,1985
6hrPlevPt,va,1986,1986
day,ta,1989,1993
6hrPlevPt,va,1987,1987
day,ta,1994,1998
6hrPlevPt,va,1988,1988
6hrPlevPt,va,1989,1989
3hr,pr,1989,1998
6hrPlevPt,va,1990,1990
day,ta,1999,2003
6hrPlevPt,va,1991,1991
6hrPlevPt,va,1992,1992
6hrPlevPt,va,1993,1993
6hrLev,hus,1988,1988
day,ta,2004,2008
6hrPlevPt,va,1994,1994
3hr,pr,1999,2008
6hrPlevPt,va,1995,1995
day,ta,2009,2013
day,ta,2014,2014
6hrPlevPt,va,1996,1996
6hrPlevPt,va,1997,1997
3hr,pr,2009,2014
day,tas,1979,2014
6hrPlevPt,va,1998,1998
3hr,prc,1979,1988
6hrPlevPt,va,1999,1999
6hrPlevPt,va,2000,2000
day,tasmax,1979,2014
6hrPlevPt,va,2001,2001
3hr,prc,1989,1998
6hrPlevPt,va,2002,2002
6hrPlevPt,va,2003,2003
3hr,prc,1999,2008
day,tasmin,1979,2014
6hrPlevPt,va,2004,2004
6hrPlevPt,va,2005,2005
3hr,prc,2009,2014
6hrLev,hus,1989,1989
6hrPlevPt,va,2006,2006
day,ua,1979,1983
6hrPlevPt,va,2007,2007
6hrPlevPt,va,2008,2008
3hr,prsn,1979,1988
day,ua,1984,1988
6hrPlevPt,va,2009,2009
6hrPlevPt,va,2010,2010
3hr,prsn,1989,1998
day,ua,1989,1993
6hrPlevPt,va,2011,2011
day,ua,1994,1998
6hrPlevPt,va,2012,2012
3hr,prsn,1999,2008
6hrPlevPt,va,2013,2013
