Efx,vegHeight,1850,2014
E3hr,gpp,1979,1979
Amon,cl,1850,1869
Emon,cLand,1850,2014
Emon,cSoil,1850,2014
E3hr,gpp,1980,1989
Amon,cl,1870,1889
Emon,cWood,1850,2014
day,clt,1950,1999
Eday,lai,1950,1999
Eday,lai,2000,2014
Amon,cl,1890,1909
Emon,co23D,1850,1869
E3hr,gpp,1990,1999
3hr,clt,1960,1969
day,clt,2000,2014
Amon,cl,1910,1929
Eday,mrsfl,1850,1854
Emon,co23D,1870,1889
Eday,mrsfl,1855,1859
Eday,mrsfl,1860,1864
Emon,co23D,1890,1909
Eday,mrsfl,1865,1869
Eday,mrsfl,1870,1874
Emon,co23D,1910,1929
E3hr,gpp,2000,2009
3hr,clt,1970,1979
Eday,mrsfl,1875,1879
Amon,cl,1930,1949
Eday,mrsfl,1880,1884
E3hr,gpp,2010,2014
Emon,co23D,1930,1949
Eday,mrsfl,1885,1889
Emon,co23D,1950,1969
Eday,mrsfl,1890,1894
Amon,cl,1950,1969
Emon,co23D,1970,1989
Eday,mrsfl,1895,1899
Amon,cl,1970,1989
day,hfls,1950,1999
Eday,mrsfl,1900,1904
3hr,clt,1980,1989
Eday,mrsfl,1905,1909
Emon,co23D,1990,2009
Amon,cl,1990,2009
Eday,mrsfl,1910,1914
Amon,cl,2010,2014
Emon,co23D,2010,2014
Emon,cropFracC3,1850,2014
Eday,mrsfl,1915,1919
Emon,fBNF,1850,2014
Amon,cli,1850,1869
Emon,fDeforestToProduct,1850,2014
Eday,mrsfl,1920,1924
day,hfls,2000,2014
Emon,fNdep,1850,2014
Eday,mrsfl,1925,1929
Amon,cli,1870,1889
Emon,fNgas,1850,2014
Emon,fNleach,1850,2014
Eday,mrsfl,1930,1934
3hr,clt,1990,1999
Emon,fNloss,1850,2014
Eday,mrsfl,1935,1939
Emon,fNnetmin,1850,2014
Emon,fNup,1850,2014
Emon,fProductDecomp,1850,2014
Eday,mrsfl,1940,1944
Emon,fracLut,1850,2014
Amon,cli,1890,1909
Emon,grassFracC3,1850,2014
Eday,mrsfl,1945,1949
Emon,grassFracC4,1850,2014
day,hfss,1950,1999
3hr,clt,2000,2009
Amon,cli,1910,1929
Eday,mrsfl,1950,1954
Emon,intuaw,1850,2014
Amon,cli,1930,1949
day,hfss,2000,2014
Eday,mrsfl,1955,1959
Eday,mrsfl,1960,1964
Emon,intvaw,1850,2014
Amon,cli,1950,1969
3hr,clt,2010,2014
Emon,mrlso,1850,2014
Eday,mrsfl,1965,1969
day,hur,1950,1954
Emon,mrsfl,1850,1949
Amon,cli,1970,1989
Emon,mrsfl,1950,2014
Eday,mrsfl,1970,1974
Eday,mrsfl,1975,1979
Amon,cli,1990,2009
Emon,mrsll,1850,1949
Amon,cli,2010,2014
Eday,mrsfl,1980,1984
Emon,mrsll,1950,2014
day,hur,1955,1959
Eday,mrsfl,1985,1989
Amon,clivi,1850,2014
Emon,mrsol,1850,1949
Eday,mrsfl,1990,1994
Amon,clt,1850,2014
Eday,mrsfl,1995,1999
3hr,hfls,1960,1969
Eday,mrsfl,2000,2004
Emon,mrsol,1950,2014
Amon,clw,1850,1869
Eday,mrsfl,2005,2009
Emon,nLand,1850,2014
Emon,nLitter,1850,2014
Eday,mrsfl,2010,2014
Amon,clw,1870,1889
Eday,mrsll,1850,1854
Emon,nMineral,1850,2014
day,hur,1960,1964
Emon,nProduct,1850,2014
Amon,clw,1890,1909
Emon,nSoil,1850,2014
Eday,mrsll,1855,1859
Emon,nVeg,1850,2014
Eday,mrsll,1860,1864
Emon,nep,1850,2014
Amon,clw,1910,1929
Emon,nwdFracLut,1850,2014
Emon,orog,1850,2014
Emon,rls,1850,2014
Amon,clw,1930,1949
Eday,mrsll,1865,1869
day,hur,1965,1969
Eday,mrsll,1870,1874
Amon,clw,1950,1969
Emon,rss,1850,2014
Emon,treeFracBdlDcd,1850,2014
Emon,treeFracBdlEvg,1850,2014
Emon,treeFracNdlDcd,1850,2014
Amon,clw,1970,1989
Emon,treeFracNdlEvg,1850,2014
Eday,mrsll,1875,1879
day,hur,1970,1974
Emon,vegFrac,1850,2014
Amon,clw,1990,2009
Eday,mrsll,1880,1884
Emon,vegHeight,1850,2014
Emon,wetlandFrac,1850,2014
Eday,mrsll,1885,1889
Amon,clw,2010,2014
day,hur,1975,1979
Eday,mrsll,1890,1894
3hr,hfls,1970,1979
Eday,mrsll,1895,1899
day,hur,1980,1984
Eday,mrsll,1900,1904
Eday,mrsll,1905,1909
Eday,mrsll,1910,1914
day,hur,1985,1989
3hr,hfls,1980,1989
Eday,mrsll,1915,1919
Eday,mrsll,1920,1924
Amon,co2,1850,1949
day,hur,1990,1994
Eday,mrsll,1925,1929
Amon,co2,1950,2014
day,hur,1995,1999
Eday,mrsll,1930,1934
Amon,evspsbl,1850,2014
3hr,hfls,1990,1999
Eday,mrsll,1935,1939
Eday,mrsll,1940,1944
Amon,hfls,1850,2014
day,hur,2000,2004
Eday,mrsll,1945,1949
Amon,hfss,1850,2014
Eday,mrsll,1950,1954
Eday,mrsll,1955,1959
day,hur,2005,2009
Eday,mrsll,1960,1964
Eday,mrsll,1965,1969
3hr,hfls,2000,2009
Amon,hur,1850,1949
Eday,mrsll,1970,1974
Eday,mrsll,1975,1979
Amon,hur,1950,2014
3hr,hfls,2010,2014
Eday,mrsll,1980,1984
Amon,hurs,1850,2014
Eday,mrsll,1985,1989
day,hur,2010,2014
Eday,mrsll,1990,1994
Eday,mrsll,1995,1999
Eday,mrsll,2000,2004
day,hurs,1850,1899
3hr,hfss,1960,1969
Eday,mrsll,2005,2009
Eday,mrsll,2010,2014
Amon,hus,1850,1949
day,hurs,1900,1949
Eday,mrsol,1850,1854
Amon,hus,1950,2014
3hr,hfss,1970,1979
Eday,mrsol,1855,1859
day,hurs,1950,1999
Amon,huss,1850,2014
Eday,mrsol,1860,1864
Amon,pfull,1850,2014
Amon,phalf,1850,2014
day,hurs,2000,2014
Amon,pr,1850,2014
Eday,mrsol,1865,1869
Eday,mrsol,1870,1874
Amon,prc,1850,2014
Amon,prsn,1850,2014
Eday,mrsol,1875,1879
day,hursmax,1850,1899
Eday,mrsol,1880,1884
Amon,prw,1850,2014
3hr,hfss,1980,1989
Amon,ps,1850,2014
Eday,mrsol,1885,1889
Amon,psl,1850,2014
Eday,mrsol,1890,1894
Amon,rlds,1850,2014
Amon,rldscs,1850,2014
Eday,mrsol,1895,1899
Amon,rlus,1850,2014
Amon,rlut,1850,2014
Eday,mrsol,1900,1904
Amon,rlutcs,1850,2014
Amon,rsds,1850,2014
Eday,mrsol,1905,1909
Amon,rsdscs,1850,2014
day,hursmax,1900,1949
Eyr,baresoilFrac,1850,2014
Amon,rsdt,1850,2014
Eyr,cropFrac,1850,2014
Eyr,fracLut,1850,2014
Amon,rsus,1850,2014
Eday,mrsol,1910,1914
Eyr,grassFrac,1850,2014
3hr,hfss,1990,1999
Eyr,shrubFrac,1850,2014
Amon,rsuscs,1850,2014
Eday,mrsol,1915,1919
Eyr,treeFrac,1850,2014
Eyr,vegFrac,1850,2014
day,hursmax,1950,1999
Amon,rsut,1850,2014
Amon,rsutcs,1850,2014
Amon,rtmt,1850,2014
Eday,mrsol,1920,1924
Amon,sbl,1850,2014
day,hursmax,2000,2014
Eday,mrsol,1925,1929
Amon,sci,1850,2014
3hr,hfss,2000,2009
Amon,sfcWind,1850,2014
Eday,mrsol,1930,1934
fx,areacella,1850,2014
Eday,mrsol,1935,1939
fx,orog,1850,2014
fx,sftgif,1850,2014
day,hursmin,1850,1899
fx,sftlf,1850,2014
Eday,mrsol,1940,1944
fx,zfull,1850,2014
3hr,hfss,2010,2014
Eday,mrsol,1945,1949
Amon,ta,1850,1949
LImon,sftgif,1850,2014
Eday,mrsol,1950,1954
day,hursmin,1900,1949
LImon,snm,1850,2014
LImon,snw,1850,2014
Eday,mrsol,1955,1959
Amon,ta,1950,2014
Amon,tas,1850,2014
Eday,mrsol,1960,1964
Amon,tasmax,1850,2014
day,hursmin,1950,1999
Eday,mrsol,1965,1969
3hr,huss,1960,1969
Amon,tasmin,1850,2014
day,hursmin,2000,2014
Eday,mrsol,1970,1974
Amon,tauu,1850,2014
Eday,mrsol,1975,1979
Amon,tauv,1850,2014
Eday,mrsol,1980,1984
Amon,ts,1850,2014
day,hus,1950,1954
Eday,mrsol,1985,1989
3hr,huss,1970,1979
Eday,mrsol,1990,1994
Lmon,baresoilFrac,1850,2014
Eday,mrsol,1995,1999
Lmon,c3PftFrac,1850,2014
day,hus,1955,1959
Lmon,c4PftFrac,1850,2014
Eday,mrsol,2000,2004
Lmon,cCwd,1850,2014
Lmon,cLeaf,1850,2014
Amon,ua,1850,1949
Eday,mrsol,2005,2009
Lmon,cLitter,1850,2014
day,hus,1960,1964
3hr,huss,1980,1989
Lmon,cProduct,1850,2014
Eday,mrsol,2010,2014
Lmon,cRoot,1850,2014
Lmon,cSoilFast,1850,2014
Lmon,cSoilMedium,1850,2014
Amon,ua,1950,2014
Lmon,cSoilSlow,1850,2014
Amon,uas,1850,2014
Lmon,cVeg,1850,2014
Lmon,cropFrac,1850,2014
Lmon,evspsblsoi,1850,2014
Lmon,gpp,1850,2014
Lmon,grassFrac,1850,2014
Lmon,lai,1850,2014
Lmon,landCoverFrac,1850,2014
Amon,va,1850,1949
Lmon,mrfso,1850,2014
Lmon,mrro,1850,2014
3hr,huss,1990,1999
day,hus,1965,1969
Lmon,mrros,1850,2014
Lmon,mrso,1850,2014
Lmon,mrsos,1850,2014
Amon,va,1950,2014
Lmon,nbp,1850,2014
Lmon,npp,1850,2014
day,hus,1970,1974
Lmon,ra,1850,2014
Amon,vas,1850,2014
Lmon,residualFrac,1850,2014
Lmon,rh,1850,2014
3hr,huss,2000,2009
Lmon,shrubFrac,1850,2014
Lmon,treeFrac,1850,2014
day,hus,1975,1979
Lmon,tsl,1850,1949
Amon,wap,1850,1949
Lmon,tsl,1950,2014
3hr,huss,2010,2014
3hr,mrsos,1960,1969
Amon,wap,1950,2014
day,hus,1980,1984
Amon,zg,1850,1949
3hr,mrsos,1970,1979
day,hus,1985,1989
Amon,zg,1950,2014
day,hus,1990,1994
3hr,mrsos,1980,1989
day,hus,1995,1999
3hr,mrsos,1990,1999
day,hus,2000,2004
3hr,mrsos,2000,2009
3hr,mrsos,2010,2014
day,hus,2005,2009
day,hus,2010,2014
3hr,pr,1960,1969
day,huss,1850,1899
day,huss,1900,1949
day,huss,1950,1999
day,huss,2000,2014
3hr,pr,1970,1979
day,mrro,1950,1999
day,mrro,2000,2014
day,mrso,1850,1899
3hr,pr,1980,1989
day,mrso,1900,1949
day,mrso,1950,1999
day,mrso,2000,2014
3hr,pr,1990,1999
day,mrsos,1850,1899
day,mrsos,1900,1949
day,mrsos,1950,1999
3hr,pr,2000,2009
day,mrsos,2000,2014
3hr,pr,2010,2014
day,pr,1850,1899
3hr,prc,1960,1969
day,pr,1900,1949
3hr,prc,1970,1979
day,pr,1950,1999
day,pr,2000,2014
3hr,prc,1980,1989
day,prc,1950,1999
day,prc,2000,2014
3hr,prc,1990,1999
day,prsn,1950,1999
day,prsn,2000,2014
3hr,prc,2000,2009
day,psl,1850,1899
3hr,prc,2010,2014
3hr,prsn,1960,1969
day,psl,1900,1949
Oday,omldamax,1850,1859
Oday,omldamax,1860,1869
Oday,omldamax,1870,1879
3hr,prsn,1970,1979
day,psl,1950,1999
Oday,omldamax,1880,1889
day,psl,2000,2014
3hr,prsn,1980,1989
Oday,omldamax,1890,1899
3hr,prsn,1990,1999
day,rlds,1950,1999
Oday,omldamax,1900,1909
day,rlds,2000,2014
3hr,prsn,2000,2009
Oday,omldamax,1910,1919
3hr,prsn,2010,2014
Ofx,areacello,1850,2014
Oday,omldamax,1920,1929
Ofx,basin,1850,2014
Ofx,deptho,1850,2014
Ofx,masscello,1850,2014
Ofx,sftof,1850,2014
Ofx,thkcello,1850,2014
Oday,omldamax,1930,1939
Ofx,volcello,1850,2014
day,rlus,1950,1999
day,rlus,2000,2014
Oday,omldamax,1940,1949
3hr,ps,1960,1969
Omon,agessc,1850,1859
Oday,omldamax,1950,1959
day,rlut,1950,1999
Oday,omldamax,1960,1969
day,rlut,2000,2014
Omon,agessc,1860,1869
3hr,ps,1970,1979
