SImon	2	Lateral Sea Ice Melt Rate	kg m-2 s-1	The rate of change of sea ice mass through lateral melting divided by grid-cell area (report 0 if not explicitly calculated thermodynamically)		sidmasslat	tendency_of_sea_ice_amount_due_to_lateral_melting	area: mean where sea time: mean		real	longitude latitude time	sidmasslat	seaIce	mon	area: areacello	SIMIP [seaicemon]		42	7124ed7e-faa7-11e6-bfb7-ac72891c3257	590ea5c4-9e49-11e5-803c-0d0b866b59f3	e9f9f6ca-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global field (single level) [XY-na] [amse-tmn]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Snow Mass Rate of Change Through Evaporation or Sublimation	kg m-2 s-1	the rate of change of snow mass through sublimation and evaporation divided by sea-ice area		sndmasssubl	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	sndmasssubl	seaIce	mon	area: areacello	SIMIP [seaicemon]	45	712fc2da-faa7-11e6-bfb7-ac72891c3257	590de2ce-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics	kg m-2 s-1	The rate of change of snow mass through advection with sea ice divided by sea-ice area		sndmassdyn	tendency_of_surface_snow_amount_due_to_sea_ice_dynamics	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	sndmassdyn	seaIce	mon	area: areacello	SIMIP [seaicemon]		46	7110e568-faa7-11e6-bfb7-ac72891c3257	59139246-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Snow Mass Rate of Change Through Snow-to-Ice Conversion	kg m-2 s-1	the rate of change of snow mass due to transformation of snow to sea ice divided by sea-ice area		sndmasssi	tendency_of_surface_snow_amount_due_to_conversion_of_snow_to_sea_ice	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	sndmasssi	seaIce	mon	area: areacello	SIMIP [seaicemon]		47	714d7898-faa7-11e6-bfb7-ac72891c3257	5914c95e-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Snow Mass Rate of Change Through Wind Drift of Snow	kg m-2 s-1	the rate of change of snow mass through wind drift of snow (from sea-ice into the sea) divided by sea-ice area		sndmasswindrif	tendency_of_surface_snow_amount_due_to_drifting_into_sea	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	sndmasswindrif	seaIce	mon	area: areacello	SIMIP [seaicemon]		48	712046d4-faa7-11e6-bfb7-ac72891c3257	590d7370-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Downwelling Shortwave Flux Under Sea Ice	W m-2	The downwelling shortwave flux underneath sea ice (always positive)		siflswdbot	downwelling_shortwave_flux_in_sea_water_at_sea_ice_base	area: time: mean where sea_ice (comment: mask=siconc)	down	real	longitude latitude time	siflswdbot	seaIce	mon	area: areacello	SIMIP [seaicemon]		51	710a6936-faa7-11e6-bfb7-ac72891c3257	590f5672-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]		C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Net Upward Sensible Heat Flux Under Sea Ice	W m-2	the net sensible heat flux under sea ice from the ocean		siflsensupbot	upward_sea_ice_basal_heat_flux	area: time: mean where sea_ice (comment: mask=siconc)	up	real	longitude latitude time	siflsensupbot	seaIce	mon	area: areacello	SIMIP [seaicemon]		56	711fa92c-faa7-11e6-bfb7-ac72891c3257	590ef524-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Net Conductive Heat Flux in Ice at the Surface	W m-2	the net heat conduction flux at the ice surface		siflcondtop	surface_downward_sensible_heat_flux	area: time: mean where sea_ice (comment: mask=siconc)	down	real	longitude latitude time	siflcondtop	seaIce	mon	area: areacello	SIMIP [seaicemon]		57	711489d4-faa7-11e6-bfb7-ac72891c3257	590ecbda-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All		
SImon	2	Net Conductive Heat Fluxes in Ice at the Bottom	W m-2	the net heat conduction flux at the ice base		siflcondbot	basal_downward_heat_flux_in_sea_ice	area: time: mean where sea_ice (comment: mask=siconc)	down	real	longitude latitude time	siflcondbot	seaIce	mon	area: areacello	SIMIP [seaicemon]		58	71402c4c-faa7-11e6-bfb7-ac72891c3257	5917ba9c-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Downward Sea Ice Basal Salt Flux	kg m-2 s-1	This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.		sfdsi	downward_sea_ice_basal_salt_flux	area: time: mean where sea_ice (comment: mask=siconc)	down	real	longitude latitude time	sfdsi	seaIce	mon	area: areacello	SIMIP [seaicemon]		60	7143517e-faa7-11e6-bfb7-ac72891c3257	8d0958ad5a4eabc97fc1896e847b00fe	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
