#MASTER VARIABLE MAP - ACCESS-OM2[-025]
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...ocean...
hfbasinpmdiff,yes,temp_sigma_diff_yflux_int_z,"hfbasin(var)",W,dropX basin,,OM2,ocean,
hfcorr,yes,ehat_flux_correction,,W m-2,,,both,ocean,
#hfgeou,yes,geo_heat,,W m-2,,,both,ocean,
hflso,yes,evap_heat,,W m-2,,,both,ocean,
hfsso,yes,sens_heat,,W m-2,,,both,ocean,
htovgyre,yes,temp_merid_flux_gyre_global temp_merid_flux_gyre_atlantic temp_merid_flux_gyre_arctic temp_merid_flux_gyre_pacific temp_merid_flux_gyre_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
htovovrt,yes,temp_merid_flux_over_global temp_merid_flux_over_atlantic temp_merid_flux_over_arctic temp_merid_flux_over_pacific temp_merid_flux_over_indian,basinMeridFlux(var),W,dropX basin,,both,ocean,
sltovgyre,yes,salt_merid_flux_gyre_global salt_merid_flux_gyre_atlantic salt_merid_flux_gyre_arctic salt_merid_flux_gyre_pacific salt_merid_flux_gyre_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
sltovovrt,yes,salt_merid_flux_over_global salt_merid_flux_over_atlantic salt_merid_flux_over_arctic salt_merid_flux_over_pacific salt_merid_flux_over_indian,basinMeridFlux(var),kg/sec,dropX basin,,both,ocean,
rlntds,yes,lw_heat,,W/m^2,,,both,ocean,
hfsifrazil2d,yes,frazil_3d_int_z,,W m-2,,,both,ocean seaIce,
msftyrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin gridlat,,OM2-025,ocean,
msftmrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin,,OM2-025,ocean,
msftyz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin gridlat,,OM2-025,ocean,
msftmz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full',025)",kg s-1,dropX basin,,OM2-025,ocean,
msftyrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin gridlat,,OM2,ocean,
msftmrho,yes,ty_trans_rho ty_trans_rho_gm,"meridionalOverturning(var,'full')",kg s-1,dropX basin,,OM2,ocean,
msftyz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full')",kg s-1,dropX basin gridlat,,OM2,ocean,
msftmz,yes,ty_trans ty_trans_gm ty_trans_submeso,"meridionalOverturning(var,'full')",kg s-1,dropX basin,,OM2,ocean,
#sfdsi,no,sfc_salt_flux_ice,,kg m-2 s-1,,,both,ocean,also in SImon
sfriver,yes,sfc_salt_flux_runoff,,kg m-2 s-1,,,both,ocean,
ocontemptend,yes,temp_tendency,,W m-2,,,both,ocean,
osalttend,yes,salt_tendency,,kg s-1 m-2,,,both,ocean,
ocontempmint,yes,temp pot_rho_0 dht,"ocndepthint_025(var[0],var[1],var[2])",degC kg m-2,dropZ,,OM2-025,ocean,
opottempmint,yes,pot_temp pot_rho_0 dht,"ocndepthint_025(var[0],var[1],var[2])",degC kg m-2,dropZ,,OM2-025,ocean,
somint,yes,salt pot_rho_0 dht,"ocndepthint_025(var[0],var[1],var[2])",g m-2,dropZ,,OM2-025,ocean,
ocontempmint,yes,temp pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",degC kg m-2,dropZ,,OM2,ocean,
opottempmint,yes,pot_temp pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",degC kg m-2,dropZ,,OM2,ocean,
somint,yes,salt pot_rho_0 dht,"ocndepthint(var[0],var[1],var[2])",g m-2,dropZ,,OM2,ocean,
ocontempdiff,yes,temp_vdiffuse_diff_cbt,,W m-2,,,both,ocean,includes convection
osaltdiff,yes,salt_vdiffuse_diff_cbt,,kg m-2 s-1,,,both,ocean,includes convection
ocontemppadvect,yes,neutral_gm_temp,,W m-2,,,both,ocean,
ocontemppmdiff,yes,neutral_diffusion_temp,,W m-2,,,both,ocean,
osaltpadvect,yes,neutral_gm_salt,,kg m-2 s-1,,,both,ocean,
osaltpmdiff,yes,neutral_diffusion_salt,,kg m-2 s-1,,,both,ocean,
ocontemppsmadvect,yes,temp_submeso,,W m-2,,,both,ocean,
osaltpsmadvect,yes,salt_submeso,,kg m-2 s-1,,,both,ocean,
rsdoabsorb,yes,sw_heat swflx,"calcrsdoabsorb(var[0],var[1])",W m-2,,,both,ocean,
pabigthetao,yes,added_heat,,degC,,,both,ocean,
prbigthetao,yes,redist_heat,,degC,,,both,ocean,
ocontemprmadvect,yes,temp_advection neutral_gm_temp temp_submeso,var[0]+var[1]+var[2],W m-2,,,both,ocean,
osaltrmadvect,yes,salt_advection neutral_gm_salt salt_submeso,var[0]+var[1]+var[2],kg m-2 s-1,,,both,ocean,
tob,yes,pot_temp,"ocean_floor(var[0])",degC,dropZ,,both,ocean,
#
#...seaIce...
siconc,yes,aice,,1,,,both,seaIce,
siconca,yes,fld_s00i031,,1,,,both,seaIce,
sivol,yes,hi,,m,,,both,seaIce,
siarean,yes,aice tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'north')",m2,dropX dropY,,both,seaIce,
siareas,yes,aice tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'south')",m2,dropX dropY,,both,seaIce,
sivoln,yes,hi tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'north')",m3,dropX dropY,,both,seaIce,
sivols,yes,hi tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'south')",m3,dropX dropY,,both,seaIce,
siextentn,yes,aice tarea TLAT,"calc_hemi_seaice_extent(var[0],var[1],var[2],'north')",m2,dropX dropY,,both,seaIce,
siextents,yes,aice tarea TLAT,"calc_hemi_seaice_extent(var[0],var[1],var[2],'south')",m2,dropX dropY,,both,seaIce,
sicompstren,yes,sicompstren,,N m-1,,,both,seaIce,
siage,yes,siage,,s,,,both,seaIce,
sidivvel,yes,sidivvel,,s-1,,,both,seaIce,
sithick,yes,sithick,,m,,,both,seaIce,
siu,yes,siu,,m/s,,,both,seaIce,
siv,yes,siv,,m/s,,,both,seaIce,
sidmassevapsubl,yes,sidmassevapsubl,var[0]*-1,kg m-2 s-1,,up,both,seaIce,
#sndmasssubl,no,evap_snow_ai aice,"maskSeaIce((var[0]*330/8.64e6),var[1])",kg m-2 s-1,,,both,seaIce,
sidmassgrowthbot,yes,sidmassgrowthbot,var[0]/1800,kg m-2 s-1,,,both,seaIce,
sidmassgrowthwat,yes,sidmassgrowthwat,var[0]/1800,kg m-2 s-1,,,both,seaIce,
sidmassmeltbot,yes,sidmassmeltbot,var[0]*-1/1800,kg m-2 s-1,,,both,seaIce,
sidmassmelttop,yes,sidmassmelttop,var[0]*-1/1800,kg m-2 s-1,,,both,seaIce,
sidmasssi,yes,sidmasssi,var[0]/1800,kg m-2 s-1,,,both,seaIce,
sihc,yes,sihc,,J m-2,,,both,seaIce,
simass,yes,hi hs,var[0]*917+var[1]*330,kg m-2,,,both,seaIce,
sipr,yes,sipr,,kg m-2 s-1,,,both,seaIce,
sisnconc,yes,sisnthick,sisnconc(var[0]),1,,,both,seaIce,
sisnthick,yes,sisnthick,,m,,,both,seaIce,
sispeed,yes,sispeed,,m/s,,,both,seaIce,
sistrxdtop,yes,sistrxdtop,,N m-2,,down,both,seaIce,
sistrydtop,yes,sistrydtop,,N m-2,,down,both,seaIce,
sitemptop,yes,sitemptop,,degC,,,both,seaIce,
sndmassmelt,yes,sndmassmelt,var[0]*-1/1800,kg m-2 s-1,,,both,seaIce,
sndmasssnf,yes,sndmasssnf,var[0]/1800,kg m-2 s-1,,,both,seaIce,
sidmasstranx,yes,sidmasstranx,,kg/s,,,both,seaIce,
sidmasstrany,yes,sidmasstrany,,kg/s,,,both,seaIce,
#sisali,no,sice aice,"maskSeaIce(var[0],var[1])",0.001,,,both,seaIce,
