#local_exp_id,local_exp_dir,json_file_path,data_request,reference_date,start_year,end_year,ACCESS_version,cmip_exp_id
#
## CM2
#
# CMIP
bs500_fafall,/g/data/p66/cm2704/archive/bs500_fafall/history,input_files/json/bs500_fafall.json,input_files/dreq/cm2/cmvme_cm.fa.om.rf.sc.si_faf-all_2_2.csv,950,950,1019,CM2,faf-all
bs364,/g/data/p66/cm2704/archive/bs364/history,input_files/json/bs364.json,input_files/dreq/cm2/cmvme_cm.fa.om.rf.sc.si_faf-heat_1_2.csv,950,950,1019,CM2,faf-heat-NA0pct
br657,/g/data/p66/cm2704/archive/br657/history,input_files/json/br657.json,input_files/dreq/cm2/cmvme_cm.fa.om.rf.sc.si_faf-heat_1_2.csv,950,950,1019,CM2,faf-heat-NA50pct
# RFMIP
br931,/g/data/p66/cm2704/archive/br931/history,input_files/json/br931.json,input_files/dreq/RFMIP/cmvme_cm.fa.om.rf.sc.si_piClim-control_1_2.csv,960,960,989,CM2,piClim-control
bs626,/g/data/p66/cm2704/archive/bs626/history,input_files/json/bs626.json,input_files/dreq/RFMIP/cmvme_cm.fa.om.rf.sc.si_piClim-4xCO2_1_2.csv,960,960,989,CM2,piClim-4xCO2
bs627,/g/data/p66/cm2704/archive/bs627/history,input_files/json/bs627.json,input_files/dreq/RFMIP/cmvme_cm.fa.om.rf.sc.si_piClim-ghg_1_2.csv,960,960,989,CM2,piClim-ghg
bs628,/g/data/p66/cm2704/archive/bs628/history,input_files/json/bs628.json,input_files/dreq/RFMIP/cmvme_cm.fa.om.rf.sc.si_piClim-aer_1_2.csv,960,960,989,CM2,piClim-aer
# DAMIP
bu010,/g/data/p66/cm2704/archive/bu010/history,input_files/json/bu010.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-GHG_2_2.csv,1850,1850,2020,CM2,hist-GHG-r1
bu839,/g/data/p66/cm2704/archive/bu839/history,input_files/json/bu839.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-GHG_2_2.csv,1850,1850,2020,CM2,hist-GHG-r2
bu840,/g/data/p66/cm2704/archive/bu840/history,input_files/json/bu840.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-GHG_2_2.csv,1850,1850,2020,CM2,hist-GHG-r3
bw966,/g/data/p66/cm2704/archive/bw966/history,input_files/json/bw966.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-aer_2_2.csv,1850,1850,2020,CM2,hist-aer-r1
bx128,/g/data/p66/cm2704/archive/bx128/history,input_files/json/bx128.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-aer_2_2.csv,1850,1850,2020,CM2,hist-aer-r2
bx129,/g/data/p66/cm2704/archive/bx129/history,input_files/json/bx129.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-aer_2_2.csv,1850,1850,2020,CM2,hist-aer-r3
by350,/g/data/p66/cm2704/archive/by350/history,input_files/json/by350.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-nat_2_2.csv,1850,1850,2020,CM2,hist-nat-r1
by438,/g/data/p66/cm2704/archive/by438/history,input_files/json/by438.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-nat_2_2.csv,1850,1850,2020,CM2,hist-nat-r2
by563,/g/data/p66/cm2704/archive/by563/history,input_files/json/by563.json,input_files/dreq/cm2/cmvme_cm.da.fa.om.rf.sc.si_hist-nat_2_2.csv,1850,1850,2020,CM2,hist-nat-r3
# OMIP
#omip2_cm2,/g/data/p66/cm2704/archive/omip2_cm2/history,input_files/json/omip2_cm2.json,input_files/dreq/OMIP/cmvme_cm.da.fa.om.rf.sc.si_omip2_3_3.csv,1958,1958,1962,ESM,omip2
025deg_jra55_iaf_cycle1,/g/data/p66/cm2704/archive/025deg_jra55_iaf_cycle1/history,input_files/json/025deg_jra55_iaf_cycle1.json,input_files/dreq/OMIP/cmvme_cm.da.fa.om.rf.sc.si_omip2_3_3.csv,1958,1958,1958,OM2-025,omip2-025
#
## ESM1.5
#
# CMIP
