#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/CM2-Chem],realm,notes
#
#...CCMI2022.(ACCESS-CM2-Chem)...
#
##fx
ta500,yes,fld_s30i294,"extract_lvl(var[0],1)",K,dropZ,,CM2-Chem,atmos,
ta1000,yes,fld_s30i294,"extract_lvl(var[0],0)",K,dropZ,,CM2-Chem,atmos,
vorpot840,yes,fld_s15i214,"extract_lvl(var[0],1)",K m2 kg-1 s-1,dropZ,,CM2-Chem,atmos,
vorpot480,yes,fld_s15i214,"extract_lvl(var[0],0)",K m2 kg-1 s-1,dropZ,,CM2-Chem,atmos,
rsds,yes,fld_s01i235,,W m-2,,,CM2-Chem,atmos,
rsdscs,yes,fld_s01i210,,W m-2,,,CM2-Chem,atmos,
#snd,yes,fld_s00i376,,m,,,CM2-Chem,atmos,
snw,yes,fld_s00i023,,kg m-2,,,CM2-Chem,atmos,
tas,yes,fld_s03i236,,K,,,CM2-Chem,atmos,
tasmin,yes,fld_s03i236_min,,K,,,CM2-Chem,atmos,
tasmax,yes,fld_s03i236_max,,K,,,CM2-Chem,atmos,
#
##AmonZ/AdayZ
ta,yes,fld_s30i294,,K,,,CM2-Chem,atmos,zonal
ua,yes,fld_s30i201,,m s-1,,,CM2-Chem,atmos,zonal
va,yes,fld_s30i202,,m s-1,,,CM2-Chem,atmos,zonal
zg,yes,fld_s30i297,,m,,,CM2-Chem,atmos,zonal
meanage,yes,fld_s51i150,,yr,,,CM2-Chem,atmos,zonal
o3,yes,fld_s51i001,var[0]*0.604,mol mol-1,,,CM2-Chem,atmos,zonal
n2o,yes,fld_s51i049,var[0]*0.658,mol mol-1,,,CM2-Chem,atmos,zonal
ch4,yes,fld_s51i009,var[0]*1.811,mol mol-1,,,CM2-Chem,atmos,zonal
ch3ooh,yes,fld_s51i012,var[0]*0.604,mol mol-1,,,CM2-Chem,atmos,zonal
co,yes,fld_s51i010,var[0]*1.035,mol mol-1,,,CM2-Chem,atmos,zonal
h2o,yes,fld_s30i205,,mol mol-1,,,CM2-Chem,atmos,zonal
cfcl3,yes,fld_s51i055,var[0]*0.211,mol mol-1,,,CM2-Chem,atmos,zonal
cf2cl2,yes,fld_s51i056,var[0]*0.239,mol mol-1,,,CM2-Chem,atmos,zonal
ch3br,yes,fld_s51i057,var[0]*0.305,mol mol-1,,,CM2-Chem,atmos,zonal
noy,yes,fld_s51i098,var[0]*0.63,mol mol-1,,,CM2-Chem,atmos,zonal
cly,yes,fld_s51i100,var[0]*0.793,mol mol-1,,,CM2-Chem,atmos,zonal
bry,yes,fld_s51i099,var[0]*0.358,mol mol-1,,,CM2-Chem,atmos,zonal
cl,yes,fld_s51i041,var[0]*0.816,mol mol-1,,,CM2-Chem,atmos,zonal
clo,yes,fld_s51i042,var[0]*0.562,mol mol-1,,,CM2-Chem,atmos,zonal
cl2o2,yes,fld_s51i043,var[0]*0.281,mol mol-1,,,CM2-Chem,atmos,zonal
hocl,yes,fld_s51i051,var[0]*0.552,mol mol-1,,,CM2-Chem,atmos,zonal
oclo,yes,fld_s51i044,var[0]*0.429,mol mol-1,,,CM2-Chem,atmos,zonal
clono2,yes,fld_s51i054,var[0]*0.297,mol mol-1,,,CM2-Chem,atmos,zonal
hcl,yes,fld_s51i992,var[0]*0.793,mol mol-1,,,CM2-Chem,atmos,zonal
oh,yes,fld_s51i081,var[0]*1.704,mol mol-1,,,CM2-Chem,atmos,zonal
ho2,yes,fld_s51i082,var[0]*0.878,mol mol-1,,,CM2-Chem,atmos,zonal
h2o2,yes,fld_s51i008,var[0]*0.852,mol mol-1,,,CM2-Chem,atmos,zonal
h2,yes,fld_s51i070,var[0]*14.484,mol mol-1,,,CM2-Chem,atmos,zonal
n,yes,fld_s51i058,var[0]*2.069,mol mol-1,,,CM2-Chem,atmos,zonal
